epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5759.27,0.89361,0.57418,1.17529,0.9239,0.91641,0.9517,0.73596,0.72085,0.36533,1.05733,0.000190218,0.000190218,0.000190218
43,5894.54,0.86936,0.55791,1.16423,0.92622,0.90879,0.95112,0.74375,0.7132,0.37345,1.0534,0.000180516,0.000180516,0.000180516
44,6031.18,0.86866,0.55783,1.15972,0.91771,0.91191,0.94687,0.74038,0.71807,0.3757,1.05311,0.000170814,0.000170814,0.000170814
45,6166.72,0.87976,0.56478,1.16306,0.9093,0.91894,0.95277,0.74373,0.71204,0.37872,1.05397,0.000161112,0.000161112,0.000161112
46,6303.15,0.8579,0.54581,1.15228,0.91448,0.92098,0.95326,0.74857,0.69649,0.37012,1.03804,0.00015141,0.00015141,0.00015141
47,6438.29,0.84717,0.54051,1.15207,0.91118,0.92864,0.95599,0.75466,0.69596,0.35966,1.03957,0.000141708,0.000141708,0.000141708
48,6574.46,0.84538,0.53482,1.14301,0.91664,0.91528,0.94906,0.74652,0.70478,0.37436,1.04523,0.000132006,0.000132006,0.000132006
49,6708.95,0.82599,0.52716,1.13878,0.92177,0.9202,0.95366,0.75191,0.69765,0.36373,1.04197,0.000122304,0.000122304,0.000122304
50,6844.92,0.8185,0.51863,1.13719,0.91856,0.92721,0.95341,0.75289,0.69076,0.36046,1.03896,0.000112602,0.000112602,0.000112602
51,6978.88,0.74169,0.39228,1.10191,0.90923,0.92574,0.95095,0.74589,0.69557,0.36547,1.04515,0.0001029,0.0001029,0.0001029
52,7111.07,0.7289,0.37542,1.09039,0.92167,0.91814,0.9553,0.74938,0.69055,0.35653,1.0374,9.3198e-05,9.3198e-05,9.3198e-05
53,7243.99,0.7175,0.36603,1.08241,0.91762,0.91853,0.95556,0.75357,0.69232,0.35081,1.04358,8.3496e-05,8.3496e-05,8.3496e-05
54,7377.1,0.70994,0.36224,1.07604,0.9225,0.91907,0.95465,0.75788,0.68315,0.35259,1.04148,7.3794e-05,7.3794e-05,7.3794e-05
55,7510.25,0.69794,0.35504,1.07012,0.93174,0.9072,0.95251,0.75648,0.68066,0.34683,1.03354,6.4092e-05,6.4092e-05,6.4092e-05
56,7642.77,0.69103,0.34951,1.06262,0.91894,0.9201,0.95459,0.75829,0.68312,0.34539,1.0363,5.439e-05,5.439e-05,5.439e-05
57,7776.32,0.67675,0.34159,1.05755,0.93431,0.90406,0.95635,0.75864,0.67737,0.34159,1.03539,4.4688e-05,4.4688e-05,4.4688e-05
58,7909.73,0.66612,0.33809,1.04669,0.92792,0.90881,0.95414,0.75871,0.6786,0.34274,1.04049,3.4986e-05,3.4986e-05,3.4986e-05
59,8042.88,0.66064,0.33384,1.04552,0.93388,0.91001,0.95516,0.75924,0.67954,0.34424,1.03895,2.5284e-05,2.5284e-05,2.5284e-05
60,8176.25,0.65631,0.33206,1.04241,0.93274,0.91106,0.95524,0.75664,0.67825,0.34309,1.03707,1.5582e-05,1.5582e-05,1.5582e-05
